model,objective,split,step,epoch,loss,actual_ratio,reward_accuracy,reward_margin,learning_rate,grad_norm
Qwen3-1.7B standard IPO,standard_ipo,train,500,0.5539398975211189,2015.11875,0.5193297140300274,0.675,0.07795127974823117,4.0789959394610557e-07,484076.3125
Qwen3-1.7B standard IPO,standard_ipo,eval,500,0.5539398975211189,2198.2275390625,0.5152641437328533,0.6595174262734584,0.06151869378224934,,
Qwen3-1.7B standard IPO,standard_ipo,train,510,0.5650186954715414,2100.8041015625,0.5199699576944112,0.6125,0.0808280598372221,4.0605389442598743e-07,477143.4375
Qwen3-1.7B standard IPO,standard_ipo,train,520,0.5760974934219637,2156.1142578125,0.5166160549968482,0.6375,0.06723393839783967,4.0420819490586934e-07,508306.75
Qwen3-1.7B standard IPO,standard_ipo,train,530,0.5871762913723861,2174.5423828125,0.5173454355448485,0.6625,0.07038607373833657,4.023624953857512e-07,471535.21875
Qwen3-1.7B standard IPO,standard_ipo,train,540,0.5982550893228085,2173.934375,0.5192602463066578,0.6,0.07851206809282303,4.0051679586563306e-07,832794.9375
Qwen3-1.7B standard IPO,standard_ipo,train,550,0.6093338872732309,2405.1353515625,0.5120726618915796,0.575,0.049143168469890953,3.986710963455149e-07,717350.875
Qwen3-1.7B standard IPO,standard_ipo,train,560,0.6204126852236532,2374.45078125,0.5149222690612077,0.625,0.060986564867198466,3.968253968253968e-07,588622.25
Qwen3-1.7B standard IPO,standard_ipo,train,570,0.6314914831740757,2319.3119140625,0.5155598863959312,0.6125,0.06284727812744677,3.949796973052787e-07,433669.625
Qwen3-1.7B standard IPO,standard_ipo,train,580,0.642570281124498,2397.2595703125,0.5109110683202743,0.5875,0.04405340685043484,3.9313399778516055e-07,600512.6875
Qwen3-1.7B standard IPO,standard_ipo,train,590,0.6536490790749204,2037.86484375,0.518061100691557,0.7,0.07280698284739628,3.9128829826504246e-07,603338.625
Qwen3-1.7B standard IPO,standard_ipo,train,600,0.6647278770253428,1952.790625,0.5228229179978371,0.675,0.09215886164456606,3.894425987449243e-07,578216.1875
Qwen3-1.7B standard IPO,standard_ipo,eval,600,0.6647278770253428,2132.18359375,0.5171879915066123,0.6648793565683646,0.06931842284791431,,
Qwen3-1.7B standard IPO,standard_ipo,train,610,0.6758066749757651,2201.9763671875,0.5154224969446659,0.6,0.062479545408859846,3.8759689922480623e-07,461783.96875
Qwen3-1.7B standard IPO,standard_ipo,train,620,0.6868854729261875,1930.359765625,0.5231326408684254,0.6625,0.09345072077121586,3.8575119970468803e-07,488270.75
Qwen3-1.7B standard IPO,standard_ipo,train,630,0.6979642708766098,1922.6166015625,0.5244209352880717,0.725,0.09886673139408231,3.839055001845699e-07,493968.125
Qwen3-1.7B standard IPO,standard_ipo,train,640,0.7090430688270323,2004.7447265625,0.5245598260313272,0.675,0.09973264749860392,3.820598006644518e-07,851751.0625
Qwen3-1.7B standard IPO,standard_ipo,train,650,0.7201218667774546,2197.4330078125,0.5168940786272287,0.6625,0.06806465650442987,3.8021410114433366e-07,600159.75
Qwen3-1.7B standard IPO,standard_ipo,train,660,0.731200664727877,2083.18203125,0.5189310852438211,0.65,0.0763667251681909,3.7836840162421557e-07,666272.0625
Qwen3-1.7B standard IPO,standard_ipo,train,670,0.7422794626782994,2100.5427734375,0.5208121906965971,0.625,0.08463551348540932,3.7652270210409743e-07,634896.4375
Qwen3-1.7B standard IPO,standard_ipo,train,680,0.7533582606287218,2264.754296875,0.5131589010357857,0.6375,0.05297788659809157,3.7467700258397934e-07,713348.0
Qwen3-1.7B standard IPO,standard_ipo,train,690,0.7644370585791441,2491.19609375,0.5058820944279432,0.575,0.023549981776159256,3.728313030638612e-07,558769.3125
Qwen3-1.7B standard IPO,standard_ipo,train,700,0.7755158565295666,2037.7853515625,0.5217114813625813,0.6875,0.08771303918329068,3.709856035437431e-07,574136.0625
Qwen3-1.7B standard IPO,standard_ipo,eval,700,0.7755158565295666,2146.5986328125,0.5172550349868335,0.6675603217158177,0.06958894788265109,,
Qwen3-1.7B standard IPO,standard_ipo,train,710,0.7865946544799889,2026.716015625,0.5221207562834025,0.6875,0.08972881700610742,3.691399040236249e-07,537780.0625
Qwen3-1.7B standard IPO,standard_ipo,train,720,0.7976734524304113,2177.6494140625,0.5152556475251913,0.6875,0.06168844678904861,3.672942045035068e-07,620644.6875
Qwen3-1.7B standard IPO,standard_ipo,train,730,0.8087522503808336,2245.6439453125,0.5140785731375217,0.6625,0.05687828107620589,3.654485049833887e-07,431338.03125
Qwen3-1.7B standard IPO,standard_ipo,train,740,0.8198310483312561,1954.564453125,0.5220382012426853,0.6625,0.08881336401682347,3.6360280546327055e-07,435024.71875
Qwen3-1.7B standard IPO,standard_ipo,train,750,0.8309098462816784,2325.376953125,0.5118827607482672,0.6375,0.047990029118955134,3.6175710594315246e-07,569709.875
Qwen3-1.7B standard IPO,standard_ipo,train,760,0.8419886442321008,2077.6443359375,0.5190251495689153,0.7125,0.07686239446047693,3.599114064230343e-07,511298.625
Qwen3-1.7B standard IPO,standard_ipo,train,770,0.8530674421825232,1948.9357421875,0.5232788600027561,0.7625,0.09416614240035415,3.5806570690291623e-07,554832.6875
Qwen3-1.7B standard IPO,standard_ipo,train,780,0.8641462401329456,2161.563671875,0.5188538439571857,0.6625,0.07640233144629746,3.562200073827981e-07,725805.1875
Qwen3-1.7B standard IPO,standard_ipo,train,790,0.8752250380833679,1898.140625,0.5242363613098859,0.675,0.09786499259062112,3.5437430786267994e-07,470551.28125
Qwen3-1.7B standard IPO,standard_ipo,train,800,0.8863038360337904,1865.968359375,0.5279236424714326,0.7375,0.1129586451454088,3.525286083425618e-07,648768.5625
Qwen3-1.7B standard IPO,standard_ipo,eval,800,0.8863038360337904,2148.71826171875,0.5180740275747335,0.67828418230563,0.07294697971045772,,
Qwen3-1.7B standard IPO,standard_ipo,train,810,0.8973826339842127,1775.3078125,0.5263603322207928,0.75,0.10619505520444364,3.5068290882244366e-07,662030.5625
Qwen3-1.7B standard IPO,standard_ipo,train,820,0.9084614319346351,1878.9212890625,0.5277160905301571,0.6625,0.11222342068795114,3.4883720930232557e-07,688094.8125
Qwen3-1.7B standard IPO,standard_ipo,train,830,0.9195402298850575,2168.661328125,0.5207174234092236,0.675,0.08463740253355354,3.4699150978220743e-07,625061.0625
